job_id,job_title,job_category,years_of_experience,education_required,city,country,remote_work,company_size,industry,demand_score,benefits_score_10,required_skills,skill_count,salary_min_usd,salary_max_usd,annual_salary_usd,salary_tier,experience_level,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,ai_salary_premium_pct
10001,Product Manager,Software Engineering,3.4,High School,Ho Chi Minh City,Singapore,Fully Remote,Enterprise,Healthcare,99.6,7.6,Java,1,12100,138000,108400,Low,,2026,6,0,0,0,38.36
10002,Software Engineer,Data Science,14,Master's,Beijing,UK,Fully Remote,Enterprise,Finance,67.4,4.1,AutoGen|Java|AWS|SQL,4,48300,100800,56800,Low,Lead,2026,2,1,0,1,7.5
10003,Data Analyst,AI Engineering,13.6,Associate's,London,China,On-site,Big Tech (FAANG+),E-commerce,94.8,7.6,AWS|Python|CUDA|Airflow|Java|PyTorch|Azure|FastAPI|BERT,9,35700,53100,91000,Low,Junior,2026,11,0,0,1,22.33
10004,Product Manager,Data Science,11.7,Master's,Singapore,UK,On-site,Mid-size,Healthcare,66.5,1.4,Azure|Java|SQL|TensorFlow|FastAPI|CUDA|PyTorch|Docker|BERT,9,56600,173400,141500,Low,Mid,2026,4,0,1,0,16.64
10005,Machine Learning Engineer,IT Operations,0.3,High School,London,USA,Fully Remote,Startup,Tech,55.9,2.4,React,1,49000,104700,104800,High,Mid,2026,5,1,0,0,47.42
10006,Data Analyst,Product Management,4.9,Associate's,Berlin,UK,On-site,Enterprise,Education,81.1,6.7,C++|BERT|AutoGen|Azure|PyTorch|AWS|Python,7,70900,78100,49300,High,Junior,2026,11,0,0,0,42.79
10007,Data Analyst,IT Operations,9.4,PhD,London,Vietnam,On-site,Big Tech (FAANG+),Tech,72.7,5,TensorFlow|C++|Python|BERT|Airflow|Docker,6,88500,121100,97400,High,Junior,2026,8,1,1,1,7.52
10008,Product Manager,Product Management,4.1,Bachelor's,London,UK,Fully Remote,Enterprise,Tech,96.1,8.5,AWS|FastAPI|BERT|SQL|Python|C++|Azure,7,73000,15800,70700,Top,Junior,2026,12,1,0,1,21.48
10009,Data Scientist,IT Operations,13.6,High School,Ho Chi Minh City,UK,Hybrid,Startup,E-commerce,74.6,4.1,SQL,1,50600,127800,96800,Low,Senior,2026,1,0,0,0,22.23
10010,Machine Learning Engineer,Software Engineering,9.5,Bachelor's,Singapore,Vietnam,On-site,Mid-size,Tech,96.4,7.9,AWS|TensorFlow|Azure|PyTorch|CUDA,5,63500,124400,132800,High,Lead,2026,7,0,0,1,48.05
10011,Product Manager,Data Science,1.1,Bachelor's,Tokyo,Vietnam,Hybrid,Mid-size,Education,53.9,2.3,AutoGen|C++|TensorFlow|Azure|SQL|BERT,6,,114000,73300,Top,Lead,2026,6,0,1,0,39.76
10012,Machine Learning Engineer,Product Management,13.6,Master's,London,Vietnam,Hybrid,Startup,Automotive,91.5,9.4,Python|SQL,2,39900,137600,110300,Top,Mid,2026,3,0,0,1,40.45
10013,Machine Learning Engineer,AI Engineering,14.4,High School,New York,Japan,Hybrid,Enterprise,Education,88,4.8,AutoGen|Docker|CUDA|BERT,4,67900,111300,56200,Medium,Lead,2026,10,0,1,1,18.41
10014,Data Analyst,Data Science,1.2,Bachelor's,Tokyo,Germany,On-site,Big Tech (FAANG+),Finance,86,3.1,Azure|SQL|C++|Airflow|PyTorch|Java|React|CUDA|AutoGen,9,76100,123900,63000,High,Lead,2026,10,1,1,0,34.78
10015,Software Engineer,AI Engineering,8,PhD,Berlin,Japan,Fully Remote,Mid-size,Education,67.8,8.1,,0,51600,127300,25600,Low,Lead,2026,10,0,1,0,16.01
10016,Machine Learning Engineer,Data Science,4.6,Associate's,Singapore,UK,Fully Remote,Mid-size,Healthcare,89.2,9.5,PyTorch|Java|C++|Azure|SQL|Docker|CUDA|Python|AWS|AutoGen,10,59400,141700,115600,Low,Senior,2026,1,0,1,1,41.23
10017,DevOps Engineer,Data Science,5.9,High School,Singapore,Japan,Fully Remote,Enterprise,Automotive,74.2,9.3,FastAPI|BERT|Java|Python|CUDA|React|SQL|C++|AWS,9,90900,86900,33500,Medium,Mid,2026,2,0,0,1,48
10018,Data Analyst,IT Operations,2.7,Master's,San Francisco,Japan,Fully Remote,Enterprise,E-commerce,85.8,3.1,FastAPI|Docker|AWS,3,37500,117600,46700,Top,Junior,2026,1,1,1,0,30.51
10019,Data Scientist,Product Management,8.7,High School,Berlin,Vietnam,Fully Remote,Enterprise,Healthcare,77.6,7,AutoGen|SQL,2,44600,81600,80700,High,Lead,2026,3,1,0,1,26.44
10020,Software Engineer,Product Management,14.4,Master's,London,Vietnam,Fully Remote,Big Tech (FAANG+),Education,57.9,5.9,Python|AWS|CUDA|React|PyTorch|Docker|FastAPI,7,,112500,126200,Medium,Lead,2026,1,0,1,0,43.62
10021,DevOps Engineer,Data Science,7.5,Associate's,Ho Chi Minh City,China,Hybrid,Enterprise,Healthcare,53.2,7.5,TensorFlow|Airflow|SQL|Java|AWS|FastAPI|BERT|C++|PyTorch,9,32300,99300,27400,Low,,2026,10,0,1,0,45.25
10022,DevOps Engineer,Software Engineering,1.2,PhD,Tokyo,Japan,Hybrid,Big Tech (FAANG+),Tech,68.3,5.4,Docker|Airflow|Java,3,48500,64000,84200,Top,Mid,2026,5,0,0,0,4.51
10023,Data Scientist,Software Engineering,9.3,Bachelor's,San Francisco,Germany,Hybrid,Startup,Healthcare,96.6,5.2,FastAPI|React|AutoGen|PyTorch|AWS,5,25600,122600,39400,Top,Lead,2026,10,0,1,0,34.87
10024,Software Engineer,AI Engineering,5.1,High School,Berlin,UK,On-site,Big Tech (FAANG+),Healthcare,76.5,8.9,TensorFlow|SQL|FastAPI|Python|Azure,5,,28900,116900,High,Senior,2026,6,0,0,0,31.42
10025,Data Analyst,AI Engineering,12.8,Master's,Berlin,Singapore,On-site,Enterprise,Education,90.1,8.8,FastAPI|React|PyTorch,3,54800,56200,79300,High,Junior,2026,1,1,1,1,10.51
10026,AI Agent Developer,IT Operations,6.5,Associate's,New York,Singapore,On-site,Big Tech (FAANG+),Finance,78.8,8.1,C++|Docker|Airflow|AWS|PyTorch|BERT|Azure|React|Java|Python,10,23300,128500,113900,High,Mid,2026,1,0,0,0,6.24
10027,Software Engineer,Data Science,2.9,Bachelor's,London,USA,Fully Remote,Big Tech (FAANG+),Education,97.9,7.3,Java|Docker,2,31600,73400,55900,Medium,,2026,12,1,0,1,14.26
10028,Data Scientist,AI Engineering,2.9,Associate's,San Francisco,Germany,Hybrid,Big Tech (FAANG+),E-commerce,68.5,7.1,React|AutoGen|TensorFlow|SQL|Docker|FastAPI|PyTorch|BERT|Java,9,,121200,63600,Low,Junior,2026,4,1,1,0,8.45
10029,DevOps Engineer,AI Engineering,11.5,PhD,Tokyo,Germany,On-site,Mid-size,Automotive,52.9,1.5,Azure|FastAPI|React|Java|PyTorch|BERT|CUDA,7,53400,191800,51700,High,Lead,2026,4,0,0,0,12.13
10030,Data Analyst,Data Science,4,Bachelor's,Berlin,China,Hybrid,Enterprise,Tech,89,7.7,Docker|FastAPI|PyTorch|AWS|Azure|SQL,6,49300,16500,111200,Medium,Mid,2026,8,1,1,1,45.88
10031,Software Engineer,IT Operations,11.5,Bachelor's,Singapore,UK,Fully Remote,Big Tech (FAANG+),Finance,85.3,6.7,,0,42600,111600,110600,Medium,Senior,2026,10,0,1,0,45.81
10032,AI Agent Developer,AI Engineering,3.1,Bachelor's,Berlin,UK,Hybrid,Enterprise,Automotive,76.4,3.7,,0,80800,173900,58600,High,Lead,2026,7,1,0,0,12.68
10033,AI Agent Developer,IT Operations,4.8,Master's,Berlin,Vietnam,Fully Remote,Startup,Automotive,66.3,8.4,Azure|Airflow|AWS|Java|SQL|TensorFlow|PyTorch|React|Python|AutoGen,10,94800,110000,99400,Medium,Mid,2026,7,1,0,0,10.11
10034,Machine Learning Engineer,Product Management,7,Bachelor's,Berlin,Vietnam,On-site,Big Tech (FAANG+),Finance,59.4,8.5,,0,62100,100300,72400,Low,Senior,2026,9,1,1,0,22.73
