Employee_ID,Age,Salary,Department,Experience_Years,Join_Date
1,39.0,12881201.589886483,Sales,12.1,2022-03-04
2,,12732929.45808073,Engineering,9.6,
3,41.0,6021784.136849925,Finance,14.8,2015-04-13
4,50.0,13349549.041492814,Sales,6.6,2018-01-31
5,32.0,18664145.409108724,Engineering,9.9,2017-09-30
6,32.0,8628839.404616024,Finance,18.3,2017-07-03
7,50.0,20242413.25525296,HR,19.1,2016-07-25
8,42.0,17438874.105421692,Sales,18.5,2016-02-24
9,30.0,11328833.39014481,HR,5.2,2022-08-03
10,40.0,14292351.813310763,Marketing,4.6,2021-02-11
11,30.0,22991609.038205165,Finance,6.0,2015-12-23
12,30.0,18667739.06752933,Finance,8.8,2021-08-15
13,37.0,15043918.274490738,Sales,6.3,2019-09-25
14,15.0,13811583.415195078,Finance,7.5,2015-05-11
15,17.0,15383045.352258299,Marketing,12.4,2015-05-03
16,29.0,12441182.210288484,Finance,15.3,2016-01-19
17,24.0,4476252.471404927,Engineering,14.7,2017-06-14
18,38.0,25210889.552673653,HR,16.3,2017-08-10
19,25.0,15776624.995997008,Marketing,0.6,2020-08-31
20,20.0,16990736.325612687,Marketing,1.0,2021-10-01
21,49.0,14710461.250615457,HR,15.8,2015-04-19
22,32.0,11324415.99637706,HR,10.7,2021-04-17
23,35.0,14070377.595256146,Marketing,11.6,2017-03-25
24,20.0,7003026.189028444,HR,1.1,2023-01-11
25,29.0,,Sales,5.1,2022-04-15
26,36.0,8827440.00788802,HR,12.8,2022-11-12
27,23.0,9840168.580764104,Engineering,17.2,2021-02-10
28,38.0,12798703.978067998,Engineering,18.3,2019-09-15
29,999.0,,Sales,10.0,2017-06-21
30,32.0,15072544.99631327,HR,10.9,2020-01-14
31,28.0,8819321.019847687,Engineering,16.7,2021-08-10
32,53.0,21271691.8037867,Finance,10.8,2018-02-13
33,-5.0,18655003.133927405,,-2.5,2015-01-27
34,24.0,17692174.78608226,Sales,18.1,31/02/2020
35,43.0,18578671.205854204,HR,15.8,2022-10-30
36,22.0,26971809.502912253,Marketing,18.2,2019-09-28
37,37.0,25925474.47518056,Enginering,4.4,2018-10-25
38,15.0,11566423.284983523,Engineering,10.5,2018-02-12
39,21.0,23119424.96405576,Enginering,16.8,2016-09-28
40,36.0,16915840.948794503,Sales,2.2,2017-05-31
41,,17495479.08068875,Engineering,15.9,2018-10-10
42,36.0,6538645.841783358,Sales,3.7,2016-02-23
43,33.0,14148071.17305902,Sales,-2.5,2016-01-15
44,31.0,10935882.048317175,Marketing,12.2,2019-04-06
45,20.0,19140294.074466545,Marketing,3.9,2016-02-01
46,-5.0,20355402.502014026,Sales,9.5,2019-01-10
47,30.0,4627568.244918443,Marketing,13.6,2018-11-09
48,45.0,14889825.679978648,Marketing,12.7,2021-10-08
