job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,salary_tier
AIJOB1501,MLOps Engineer,Machine Learning,Mid-Level,4.1,Bachelor's,115200,104100,135600,Singapore,Singapore,Hybrid,Big Tech (FAANG+),E-commerce,C++|Git|LangChain|Python|REST APIs|Spark|Vector Databases,13.6,80.1,32.9,4.6,2026,8,0,1,0,Tier 2 (80k-140k)
AIJOB1502,Autonomous Driving Engineer,Automotive AI,Director,11.4,Associate's,242000,213100,275600,Singapore,Singapore,Fully Remote,Startup (1-50),Automotive,Docker|FastAPI|GCP|Kubernetes|LangChain|Llama|PyTorch|TensorFlow,11.6,71.6,31,6.7,2026,8,1,1,0,Tier 4 (>200k)
AIJOB1503,Deep Learning Specialist,AI Engineering,Mid-Level,3.3,Master's,77800,72100,89300,Beijing,China,Fully Remote,Startup (1-50),Healthcare,AWS|CUDA|GCP|Llama|PyTorch|Python|REST APIs|SQL,,,,,2026,6,0,1,0,Tier 1 (<80k)
AIJOB1504,LLM Application Developer,AI Engineering,Senior,8.5,Master's,144100,132400,162400,Osaka,Japan,On-site,Startup (1-50),E-commerce,AutoGen|BERT|Docker|FastAPI|GCP|Kubernetes|REST APIs,,,,,2026,1,1,0,1,Tier 3 (140k-200k)
AIJOB1505,Deep Learning Specialist,AI Engineering,Mid-Level,4.6,Bachelor's,98600,91500,111000,Manchester,United Kingdom,Hybrid,Startup (1-50),Automotive,AWS|Airflow|AutoGen|Azure|CUDA|Docker|GCP|RAG|SQL|Vector Databases,,,,,2026,3,0,1,0,Tier 2 (80k-140k)
AIJOB1506,Data Scientist,Data Science,Entry-Level,1.4,Bachelor's,70200,65100,82800,Tokyo,Japan,Fully Remote,Startup (1-50),Healthcare,Docker|FastAPI|GCP|GPT-4|Vector Databases,,,,,2025,2,0,1,1,Tier 1 (<80k)
AIJOB1507,MLOps Engineer,Machine Learning,Mid-Level,2.6,Bachelor's,79200,73500,85100,Hangzhou,China,On-site,Enterprise (501-5000),Telecommunications,Airflow|AutoGen|CUDA|GPT-4|Git|RAG|SQL|TensorFlow,,,,,2025,10,0,0,0,Tier 1 (<80k)
AIJOB1508,Deep Learning Specialist,AI Engineering,Mid-Level,2.7,Bachelor's,105800,96000,117000,Toronto,Canada,Fully Remote,Mid-Market (51-500),Manufacturing,AWS|BERT|FastAPI|Kubernetes|REST APIs|SQL|TensorFlow,,,,,2026,4,0,1,1,Tier 2 (80k-140k)
AIJOB1509,NLP Engineer,Natural Language Processing,Senior,6.4,Bachelor's,203600,175500,243000,Seattle,United States,On-site,Enterprise (501-5000),Finance & Banking,AWS|CUDA|Docker|Kubernetes|RAG|REST APIs|SQL|Scikit-Learn,,,,,2026,3,1,0,1,Tier 4 (>200k)
AIJOB1510,NLP Engineer,Natural Language Processing,Entry-Level,2.1,Bachelor's,30000,25800,32900,Ho Chi Minh City,Vietnam,On-site,Startup (1-50),Manufacturing,Airflow|AutoGen|Azure|C++|GCP|Git|Python|RAG|Scikit-Learn|TensorFlow,,,,,2025,6,0,0,1,Tier 1 (<80k)
AIJOB1511,Prompt Engineer,AI Engineering,Senior,7.4,Bachelor's,78500,70500,89100,Osaka,Japan,Hybrid,Big Tech (FAANG+),Automotive,Azure|FastAPI|Kubernetes|Python|Spark,,,,,2026,4,1,1,1,Tier 1 (<80k)
AIJOB1512,AI Research Scientist,Research,Mid-Level,3.5,Bachelor's,130200,113900,143900,Montreal,Canada,On-site,Startup (1-50),Finance & Banking,AWS|AutoGen|BERT|FastAPI|Python|REST APIs|Scikit-Learn|TensorFlow,,,,,2026,8,0,0,1,Tier 2 (80k-140k)
AIJOB1513,MLOps Engineer,Machine Learning,Senior,6.6,Bachelor's,171100,154600,201500,Osaka,Japan,Fully Remote,Mid-Market (51-500),Manufacturing,AWS|C++|GPT-4|Kubernetes|Llama|Vector Databases,,,,,2025,5,1,1,0,Tier 3 (140k-200k)
AIJOB1514,LLM Application Developer,AI Engineering,Mid-Level,3.7,High School / None,80600,70300,96300,Montreal,Canada,Hybrid,Startup (1-50),Finance & Banking,AWS|Airflow|AutoGen|GCP|PyTorch|REST APIs|SQL|Spark|Vector Databases,,,,,2026,4,0,1,1,Tier 2 (80k-140k)
AIJOB1515,Generative AI Engineer,AI Engineering,Mid-Level,3.8,Bachelor's,132600,113600,143700,New York,United States,On-site,Big Tech (FAANG+),Technology & SaaS,Airflow|AutoGen|BERT|C++|Docker|GPT-4|Kubernetes|PyTorch|Python|Spark,,,,,2025,8,0,0,1,Tier 2 (80k-140k)
